epoch,train_loss,val_loss,train_auc,val_auc,learning_rate
1,14.788308143615723,31.418476104736328,0.4679752066115702,0.4777777777777778,0.0005
2,8.73314619064331,25.447933197021484,0.7554235537190084,0.5111111111111111,0.0005
3,6.429676651954651,21.78947639465332,0.8680268595041323,0.4666666666666667,0.0005
4,3.5841482480367026,11.33425235748291,0.9028925619834711,0.5555555555555556,0.0005
5,1.8446632027626038,5.635789394378662,0.9594524793388429,0.6444444444444444,0.0005
6,1.891231656074524,4.900243759155273,0.9620351239669421,0.7,0.0005
7,2.815579558412234,3.640988349914551,0.9462809917355373,0.7777777777777778,0.0005
8,1.7433973674972851,3.3452837467193604,0.9739152892561983,0.8111111111111112,0.0005
9,2.2625241501567266,3.132026195526123,0.9643595041322314,0.8222222222222223,0.0005
10,0.2332511266383032,6.263904094696045,0.9953512396694215,0.8222222222222223,0.0005
11,0.11687794204529685,5.901919364929199,0.996900826446281,0.8777777777777779,0.0005
12,1.4165447354316711,5.501965522766113,0.9744318181818181,0.9,0.0005
13,0.14789498845736185,5.582604885101318,0.9953512396694215,0.9166666666666666,0.0005
14,1.4581074825643252,5.901063442230225,0.9857954545454546,0.9111111111111112,0.0005
15,0.16652500082788416,5.476334571838379,0.9984504132231405,0.8944444444444444,0.00025
16,1.2960310031970341,1.1539543867111206,0.9811466942148761,0.9222222222222223,0.00025
17,0.08399744109677461,1.2043079137802124,0.9994834710743802,0.9222222222222223,0.00025
18,0.14701210234003761,1.4857535362243652,0.9963842975206612,0.9,0.00025
19,0.06399026218534247,1.8178426027297974,0.9989669421487604,0.9,0.00025
20,0.07217736542224884,2.003419876098633,0.9969008264462811,0.9,0.00025
21,1.652564777682225,1.9920096397399902,0.9777892561983471,0.9111111111111112,0.00025
22,0.062382129331530596,1.9942865371704102,0.9994834710743802,0.8888888888888888,0.000125
23,1.0744632160640322,1.9749459028244019,0.9857954545454546,0.8888888888888888,0.000125
24,1.3529760390520096,1.9291185140609741,0.984504132231405,0.8888888888888888,0.000125
25,1.537993346651395,1.6122231483459473,0.9852789256198347,0.9222222222222223,0.000125
26,0.12053515787556535,1.3623424768447876,0.9994834710743802,0.9222222222222223,0.000125
27,1.380514718266151,1.053564429283142,0.9806301652892562,0.9333333333333333,0.000125
28,0.19203763123732642,0.8851996064186096,0.9989669421487604,0.9333333333333333,0.000125
29,1.0496523352344032,0.791038453578949,0.9870867768595042,0.9333333333333333,0.000125
30,0.07955657646598269,0.7517998218536377,1.0,0.9222222222222223,0.000125
31,0.08025379295092232,0.7564451098442078,0.9989669421487604,0.9111111111111111,0.000125
32,0.13929769272605577,0.7383760809898376,0.9979338842975207,0.9111111111111111,0.000125
33,2.0019074495551954,0.7368268370628357,0.9783057851239669,0.9444444444444444,0.000125
34,0.26750199790755386,0.784494936466217,0.996900826446281,0.9333333333333333,0.000125
35,0.22343777104561013,0.8014772534370422,0.9953512396694215,0.9333333333333333,0.000125
36,0.03517466100553671,0.9228295683860779,0.9989669421487604,0.9333333333333333,0.000125
37,0.09283870946819661,0.9408736824989319,0.9994834710743802,0.9555555555555555,0.000125
38,0.21975361059211687,0.9586125612258911,0.9979338842975206,0.9444444444444444,0.000125
39,0.16264867208944148,1.027274250984192,0.9984504132231405,0.9444444444444444,6.25e-05
40,1.904763936045735,1.071853518486023,0.9772727272727273,0.9444444444444444,6.25e-05
41,0.26574188967545825,1.180768609046936,0.9974173553719009,0.9222222222222222,6.25e-05
42,0.0009691093449267404,1.4847266674041748,1.0,0.9,6.25e-05
43,0.0006638971422422354,1.6824288368225098,1.0,0.8777777777777778,6.25e-05
44,2.3194049064585256e-06,1.892612099647522,1.0,0.8777777777777778,6.25e-05
45,0.17684841516893357,1.9089815616607666,0.9958677685950413,0.8777777777777778,3.125e-05
46,0.04611105348344324,1.9883451461791992,0.9989669421487604,0.8777777777777778,3.125e-05
47,0.01806367515909753,1.986433744430542,1.0,0.8888888888888888,3.125e-05
48,0.0958676123357994,2.0259664058685303,0.9994834710743802,0.8666666666666667,3.125e-05
