model,cv_auc_mean,cv_auc_std,train_accuracy,train_auc,train_precision,train_recall,train_f1,val_accuracy,val_auc,val_precision,val_recall,val_f1,overfitting_score
Logistic_Regression_L1,0.9925925925925926,0.014814814814814793,1.0,1.0,1.0,1.0,1.0,0.9473684210526315,1.0,0.9526315789473685,0.9473684210526315,0.9473684210526315,0.0
Random_Forest,0.928858024691358,0.07007668301810306,1.0,1.0,1.0,1.0,1.0,0.9473684210526315,1.0,0.9521531100478469,0.9473684210526315,0.9470735662686127,0.0
Logistic_Regression_L2,0.9367283950617283,0.049111911804731054,0.7272727272727273,0.7804752066115702,0.7455357142857143,0.7272727272727273,0.7221052631578947,0.7368421052631579,0.7555555555555555,0.830827067669173,0.7368421052631579,0.7215865751334858,0.02491965105601468
SVM_RBF,0.5716049382716049,0.15447399821844002,0.5568181818181818,0.6903409090909091,0.6004566210045662,0.5568181818181818,0.5028248587570622,0.42105263157894735,0.5222222222222223,0.41353383458646614,0.42105263157894735,0.3874904652936689,0.1681186868686868
