,DZQV_CD8_naive,DZQV_CD8_CM,DZQV_CD8_EM,DZQV_CD8_TE,DZQV_MAIT,DZQV_VD2+,DZQV_VD2-,DZQV_TFH,DZQV_Treg,DZQV_Th1,DZQV_Th1/Th17,DZQV_Th17,DZQV_Th2,DZQV_CD4_naive,DZQV_Progenitor,DZQV_B_naive,DZQV_B_NSM,DZQV_B_Ex,DZQV_B_SM,DZQV_Plasmablasts,DZQV_C_mono,DZQV_I_mono,DZQV_NC_mono,DZQV_NK,DZQV_pDC,DZQV_mDC,DZQV_Neutrophils,DZQV_Basophils,925L_CD8_naive,925L_CD8_CM,925L_CD8_EM,925L_CD8_TE,925L_MAIT,925L_VD2+,925L_VD2-,925L_TFH,925L_Treg,925L_Th1,925L_Th1/Th17,925L_Th17,925L_Th2,925L_CD4_naive,925L_CD4_TE,925L_Progenitor,925L_B_naive,925L_B_NSM,925L_B_Ex,925L_B_SM,925L_Plasmablasts,925L_C_mono,925L_I_mono,925L_NC_mono,925L_NK,925L_pDC,925L_mDC,925L_Neutrophils,925L_Basophils,9JD4_CD8_naive,9JD4_CD8_CM,9JD4_CD8_EM,9JD4_CD8_TE,9JD4_MAIT,9JD4_VD2+,9JD4_VD2-,9JD4_TFH,9JD4_Treg,9JD4_Th1,9JD4_Th1/Th17,9JD4_Th17,9JD4_Th2,9JD4_CD4_naive,9JD4_CD4_TE,9JD4_Progenitor,9JD4_B_naive,9JD4_B_NSM,9JD4_B_Ex,9JD4_B_SM,9JD4_Plasmablasts,9JD4_C_mono,9JD4_I_mono,9JD4_NC_mono,9JD4_NK,9JD4_pDC,9JD4_mDC,9JD4_Neutrophils,9JD4_Basophils,G4YW_CD8_naive,G4YW_CD8_CM,G4YW_CD8_EM,CYFZ_PBMC,FY2H_PBMC,FLWA_PBMC,453W_PBMC,684C_PBMC,CZJE_PBMC,G4YW_CD8_TE,G4YW_MAIT,G4YW_VD2+,G4YW_VD2-,G4YW_TFH,G4YW_Treg,G4YW_Th1,G4YW_Th1/Th17,G4YW_Th17,G4YW_Th2,G4YW_CD4_naive,G4YW_Progenitor,G4YW_B_naive,G4YW_B_NSM,G4YW_B_Ex,G4YW_B_SM,G4YW_Plasmablasts,G4YW_C_mono,G4YW_I_mono,G4YW_NC_mono,G4YW_NK,G4YW_pDC,G4YW_mDC,G4YW_Neutrophils,G4YW_Basophils,DZQV_PBMC,925L_PBMC,9JD4_PBMC,G4YW_PBMC,4DUY_PBMC,36TS_PBMC,CR3L_PBMC
ENSG00000188976,5.729787671893975,5.699129044881246,5.685849066338501,5.490913756421376,6.152763261053539,5.328825695665459,5.685218452298117,5.7250696508923316,5.79794627602584,5.947790739306709,5.906673934635176,5.795538392158272,5.806297760707523,5.840353453944559,6.109534198951333,5.899725722294916,5.648166863996153,6.090026437772018,5.467571968316064,5.042157082932496,5.402817662200097,6.240645958408636,6.305590286458076,5.913947993623855,5.741920487650531,5.819863424549892,2.31700791496816,4.410286826127244,6.342415895042469,5.6897978665693785,5.603531101717331,5.610620343236763,5.527849165555958,5.542729480147302,6.360757030868043,5.41674686880739,5.829056214573615,5.949502950587982,5.873397354903476,6.34962500160426,5.528771019548452,5.761445918511096,6.1393546822659655,6.13353496252953,5.987575998449864,5.353828675262059,5.356896661121224,5.630735701808332,4.38680494672415,5.385070663570183,5.59908684878058,5.739602143264456,6.0115446134241495,6.0638568855124335,5.076461184873421,1.763798224416794,4.554765819600511,5.72697558827757,6.115529167378132,5.92157271959716,5.82325564183551,6.0554958951855,6.180350984495906,5.713862561840008,5.7333765774712795,5.805097141925131,5.862117209276756,5.9279319993251125,5.649041715649965,6.192484748702142,5.994284185834857,5.454315713308651,5.818237372106699,5.616040337413583,5.346588866589623,5.945639303924083,5.572132357879455,4.843202507581572,5.689456841841656,5.939085969241072,6.095123766616469,5.76638261091043,5.529224790466949,5.7335245523163225,2.8463928202551494,4.386424015087397,5.826418117697218,5.459082706557249,5.760898747418026,5.434376359465887,5.52967916823156,5.451084808657913,5.633578553029886,5.975437364704948,5.568424930232753,5.817406325352528,5.64310088550995,5.187358408176819,5.24024410119917,5.376808220897003,5.419586519888633,5.402352793629165,5.942505591098439,6.050425512082082,5.61729524994009,5.698560216425415,5.831696893039568,5.430506317607877,5.546284232861375,5.449406862614246,5.214116254871986,4.450844307395056,5.656790085261982,5.526922654450763,6.325411601155019,5.6488867151942905,5.731920424628533,6.0246177716809255,2.240146692170802,4.081721812603523,5.607273492641362,5.489453021290713,5.424929476294866,5.013158502559227,5.547203024756931,5.378636410977776,5.524243813298521
ENSG00000187961,2.2342088278735712,2.1111358372012123,2.0027291600422967,1.7471575384299662,2.28772434578957,1.1810389244316686,2.263166947352143,2.7978970063376964,0.6029736986853378,2.2672553216771507,2.4571671719943877,0.6977764879159257,1.33313631108392,2.639290749835825,0.0,1.5758578141485948,1.0648938855391483,3.5890827194298147,2.3662128100955577,0.7566450230262315,0.8702076668981875,2.2572722715903626,0.8866242798504387,1.7745606375276393,0.7509168759676229,0.418640095733319,0.0859222390354774,0.44047919284171716,2.350700907302464,2.9607079729825228,3.014472774992645,1.7851738744226586,1.1091492384204753,1.8834495593930125,2.3012033644772023,1.8736077030120468,2.1055329295725476,1.8555077885696725,1.9517332505289628,2.217441675554729,1.2458225924343669,2.1032290501810897,2.6340202583750614,0.6521799111599409,0.4474723458833244,1.7177310319810055,1.8128193817618827,1.5824447257495753,1.1039502342047618,1.7025409706949755,1.9941705707455233,1.1734556012784954,2.4856333496401923,1.4613247657148072,2.6367939641529983,0.27614716058404376,1.051245403517336,1.3302027017419946,2.2005542587080424,1.8253053274532318,3.2324451038081,2.9750171582654996,2.1450581860610005,1.7962376582773036,1.3513337676403312,3.0134626171303673,2.6065199278410947,2.425640919293369,2.9157317922464947,2.963763003980798,3.325655527600085,2.217001107771715,0.4530708079382828,2.1605162286369017,2.0170071987816325,1.6810605961246359,2.677008652918461,1.4992371805010036,2.0113972373828197,0.318214091755622,0.8554388174110378,1.5471941390116082,3.4245942878539517,2.031628803612894,0.6198286910458803,0.56073637466895,1.9126349205683828,1.192090098074189,2.3946902837733566,1.9523037429081318,1.2848889720494745,2.5237503722703973,1.6918467894126992,1.7747997078310194,1.6502691794102078,2.3723815914097246,2.591758873067784,1.3367132183810875,2.4536439988009597,2.1295557017557547,2.052472237457032,1.7408205142022413,1.0888757187602607,2.417380516105846,1.6464175261318281,1.8173404206329664,0.8731811083087799,1.859339473562535,1.3354964045144908,0.7449515619922494,1.6078818357127895,1.4189645036618508,2.331418311187649,0.9867014474872847,1.6146693303141901,2.8398104744304478,1.81287194275794,1.7903116362780889,0.20448006085727488,0.30721399943517075,2.0428260635175435,1.9298235621210258,1.5647805548481095,1.8457232719725138,1.8122944880329743,1.3392594100904316,1.754112727223316
ENSG00000187583,0.0,0.0,1.4316272383206,0.5172434369598624,2.105094946011102,1.0205221139897296,1.5153661413846595,0.9620277447653964,2.139543821715663,1.4107828555470556,1.4787181789485488,2.4204441345424215,1.8318691361405863,0.0,0.0,0.0,0.0,1.2589005778661533,0.8880718316422163,1.227088573886041,1.1811152756815018,1.4838766432034778,0.5665248813531677,0.9277402322993749,0.0,0.10361405772627226,0.0,0.0,0.0,1.373002786306583,1.7850759222088517,1.9417353240925348,2.2988606305606885,1.4322448291262557,2.2728294392213098,2.164443581285211,1.2866647273000857,2.503901280776425,2.3443490336276542,2.3841575903293397,2.1323636304764055,0.5878459691308983,2.29745558755875,0.0,0.06880644169682816,0.0,0.708980356747593,0.5550777380874413,1.233655566348061,1.2791842138577323,0.0,0.0,0.9616529597164741,0.0,0.0,0.0,0.4082846948574031,0.6017231359791274,1.2848380517988254,2.1670720582366174,2.8064684227941137,2.327019028923102,2.041802741650215,0.6591463889689496,0.5973643101296755,2.142619615795194,1.7827075576532248,2.196386720437779,1.3887927524358212,1.6632635437755328,0.0,1.6645055956275103,0.08972918049301837,0.0,0.0,1.3443143742941557,0.22148117474391926,1.3490725189533939,1.0095922590924975,0.10036802232306019,0.0,1.2552269727872531,0.0,1.0113059863996678,0.0,0.6632161716587679,0.25352946624573414,0.3479084848051397,1.2042239949497104,0.903163246836792,1.0465958272715918,0.9697520748162419,1.2596045323608542,1.4188483899778697,0.7812312850765776,0.7397124657118485,1.775630875022532,1.3063509105354942,1.1036748813998436,0.6897956306042027,2.0839366622964572,0.9561347350529431,2.182915675511434,2.415147500581965,2.0183831404530275,0.4306567391986082,0.0,0.07546088824937648,1.8755996166278643,0.9974535613125595,0.0,1.4465415641031432,2.1740157768988646,0.5945848553263455,0.21007959329489873,1.4054168001053924,0.0,1.475056859103871,0.32486197511967857,0.0,1.2210845408773112,1.487344336713247,0.716447530410423,1.0155832036785175,1.2724882413689986,0.20038633161992214,1.238625464334843
ENSG00000187608,3.0663768394773947,4.127765328148545,4.917751576217826,6.190030078876546,4.828106671362808,6.0134343436107605,4.45044069365389,4.861682476483604,5.386107357657126,3.8458212055357324,4.738944569625589,5.054681777928794,4.606596202144073,4.598031650740677,4.048583911383373,4.562004245379972,4.505102375402073,4.6866848442119355,4.537544571964575,5.240371387175924,6.418248720714018,7.834163516162688,6.87767064118137,5.73840036205318,3.6957154886099746,6.0911294140919034,10.483054121399913,7.602414357915712,3.7174406379594083,4.232829572928351,3.5811222297794734,2.8790646438506955,3.792105705662905,3.80983628338993,4.013896878796906,4.5347713174773165,3.7851634097598517,4.305890287987746,3.347766272976857,3.318341428409375,3.097108462544288,2.706442142626433,3.252308167465427,2.2739753305733212,2.9464931981920075,3.182622385489895,4.594966488398486,2.146117532318402,2.864417947929344,2.3569213034808483,5.0679484225466975,4.35914709509317,4.070969638293413,1.357653341588675,4.046421211248711,3.6656429013977014,3.2136319039980252,3.402979972800347,4.309961945334363,5.159867301262142,4.880367176570117,4.170814389184483,4.5085480477204465,4.865126005034349,4.116015353269936,4.468107553211354,4.458631356748767,4.807728892273159,4.694807777717209,4.35070232150902,3.0914544281856493,4.340407523495422,3.1026127840083295,2.976143640046633,4.402524365648017,4.156938577192082,3.5005471374206802,4.158676330855604,4.941682287754631,5.485872576831532,4.915470981110206,4.464550651200488,3.4081833194300657,5.080930487672984,6.783381019587802,5.211639146605146,4.213277284827329,4.541775006621324,3.9071502573470234,4.681184990655699,5.894458863432744,4.744742363025937,4.389071144358182,4.904397389082982,4.570183594339038,4.514353514805422,4.283143929290568,4.702110611772952,4.664297428484817,4.750258115159597,5.063765226652102,4.805751609489749,4.578987003332579,4.734633758210397,4.901856434953851,4.172487515510134,3.6444216154145668,3.798190525105383,4.413309739489154,4.773505851985825,4.386950243952828,4.393491710702546,5.3483563689578055,5.954014798625106,5.701368847422338,4.869580272127933,3.886810959889823,4.968390322147385,7.833034023376729,5.662059313964428,6.553090126289843,3.9531814131104652,5.389784851482349,5.11754960237114,4.034074820270572,4.068859947795233,4.922768722917127
ENSG00000188157,0.4180616786921352,0.14122349994994346,0.3039863976960301,1.2496042563420484,1.4461467826276504,1.1116389177035106,1.0064021599208586,0.7524154916081367,0.3454804024074474,1.2212912743619488,0.8131002323625971,1.1860187336838746,0.7370791191232523,0.9077498012308994,0.09627847971928623,1.262495218042321,1.6053900435706618,1.797005920030192,1.9370706741295711,0.0,1.9459496480458902,1.859888071407022,2.0329669761665174,1.759647587522992,0.5324535163622667,1.5829329085547779,2.8992394480185393,1.7719015072170412,0.8874527746640858,1.0728464796786108,1.0643895207085892,0.21100556268183537,1.3346540797188262,0.2939119082757941,1.135515169648887,0.5519510368680329,0.5153733580875722,0.7197134258684479,1.2031572952143272,1.1899067703919595,0.9471379757678068,1.015469808524213,0.0,1.4046003314474116,0.6660577702116383,1.1552055294819943,0.7705329936605895,1.5066009267088238,0.20252053246331336,2.146309000886745,2.6296007209159127,1.9220672808709502,1.4156839883584356,0.8019027871603264,2.217445087878665,3.9179090738529827,2.47223040290568,1.5131434463345592,1.9958006166285809,1.448598555941158,1.2043297444091952,0.6781988909514401,1.2622579999720744,1.118706210919955,1.5770007710925873,1.4207451564506508,0.6134236824842236,1.0572635689532563,1.3604822720913663,1.2623772889508906,1.2216729554414425,0.02517411725199404,1.4935837448677303,0.7577638273693974,1.9743144788304057,1.2140047444995117,0.8934771262643773,0.6218634067068788,3.2634619364010855,1.7941009803025543,1.4882611977573534,1.3052111922746383,1.7415929672786046,2.2296303724179714,4.08735193447376,2.662759452000917,0.756379596081438,1.0394592613384215,1.034469291789229,0.7386758523869916,1.3592130327365823,1.638616512899969,0.7919398145232536,2.3166902852802957,1.6881093099827094,1.043774659264484,0.632020609168248,1.8804043707658158,1.1844815022228978,1.7870153934859985,0.6624044246961591,0.6289925603309507,1.0590233641973716,1.162173227137479,1.8574993530836754,0.4743339952205276,0.9196333318464754,1.6242111652020523,1.268963703860861,0.6132789234161623,0.9853291256010606,0.025317588169334923,3.5008381314522485,2.8957939653482123,2.4153730671835016,1.414399683315145,1.0054449222322634,2.5391049494877485,2.9454077133234087,2.5880273743463933,1.9989410339580524,1.2213080683000923,0.6327651960389786,0.6779380393445312,1.1037972232051676,0.7749514838423885,2.0277510377154186
ENSG00000131591,4.214806612227931,3.6398947939541646,3.9565164381822213,3.6763083728203965,4.163468219604159,4.222868566855431,3.484706716893536,2.931472782642914,3.475124398239952,4.0472667673038565,3.744854729455705,3.0709496373952834,3.9675557955831575,3.861186075615808,3.7884424571516293,3.0374289638623058,3.8646395130816,3.1151947544718674,3.368581750326996,2.859435254695245,2.8885260369395356,3.6731757883425753,4.08981302805664,4.806943334591737,3.3392417341862415,3.45339773717949,0.5186841845925579,3.0975932687864347,4.748410243997013,4.196477686711496,3.8561619535801044,4.219818476817862,4.0795571461019104,4.515584859579604,4.476771538454357,3.212693526670914,3.3434811349278557,3.775988567853023,4.002071214443612,4.466458632654933,3.419146883635923,3.583813778488945,4.883188676135692,3.8679530837212153,4.137662211476767,3.349808690956817,3.247502994924321,4.007683136038906,1.8890795414818864,3.60803838218939,3.3703036599141916,3.5602696064779242,4.7383202617502755,2.6932200830214117,3.4056950794295653,0.8874496247481662,2.521373118086594,4.359079818719875,4.307744062008006,4.1591351533623895,4.392338101259484,3.8405987854437313,3.9515811743660127,4.636041915075469,3.9571731005257598,3.7524467497434175,3.446291171805021,3.7112071098439143,3.6371891765572633,3.8833289762844387,3.676912887933601,4.382664347987001,3.5318440319804676,4.190664002653759,3.893070923949094,4.144606529189522,3.2802854234108745,2.5861223180331048,4.092470645028944,3.8137309204340006,3.8148048977544997,4.070675863324904,3.7183599305254087,3.2631474125192925,1.6617512413085533,3.070092857950577,3.8060434934711833,3.7374669878252487,3.727758319195054,3.382234656024846,3.4330052254743695,3.0697011356422945,3.247169367857576,3.841456786190647,3.8884039747921713,4.197883472095898,3.714574249800756,3.9513949501437104,4.158113285436217,3.4936165944067996,4.093226641142069,3.317658185689386,3.6432406624890885,3.699168032524799,3.8034649168211256,3.9865724898464014,4.037390217428472,3.7783699767636336,3.707218638496394,3.8426883060889154,3.7715201058114163,2.570883995656878,3.2329606797149886,4.175343809774532,4.0324977060814495,4.201095023728498,4.185455873662882,3.7793521843892917,1.2584716481618938,2.187167238337447,3.2635062101812875,2.6113416683673503,3.770598302066335,3.763911650400918,3.865008907460754,3.3926416492286284,3.5976578588583767
ENSG00000162571,1.343163325180199,0.5530232616056956,1.3714306173528992,0.5741586817725463,0.4615537042653569,1.2084798029357195,1.6809634124640067,1.4665749184624208,1.3703646254371549,2.283444744988524,2.106329125770687,0.9490963617723863,1.3171315952077063,1.2170569618389269,2.176774757555274,0.9088613169340582,1.6264624999905828,2.3885036715011716,0.7082472826748529,0.4699286835821755,0.42476195898093694,1.1266227092044714,1.557875677239934,1.7884205310048307,0.6897383887157553,1.5632508895384238,1.4198786264160148,0.48761816161122595,1.79729111093134,1.017102366971224,0.4991504201786284,0.5088342742512338,0.8632882984921902,0.0,1.2790433267440096,1.7035215719580286,1.8046772699192155,1.5410687294309091,2.372280726461272,1.5437779608816384,0.7462525632898483,1.8464331397339382,1.2955467170210546,3.7436755900710392,1.40813031871689,2.415307077726658,1.0904131042117309,0.9840577427982541,0.3303168893027879,0.7943260265427886,0.5539384486705636,1.5278310289151484,2.0042687553085403,0.7418164268394141,1.1575353072015457,1.288293587770685,1.463360885816658,1.6229256668377645,2.1336687321176484,1.1621520179208642,1.6144413011893584,1.3806186381773762,1.1840009336804,1.3239579808003634,1.0196022921099377,1.9604338647612591,2.4096054574268297,1.5365239378883244,2.2403758170600248,1.3558140941922545,1.2799288441654213,1.489080459267015,2.481557373444043,1.2003391421595293,1.8453535529912843,2.3898051266757143,1.7830672732219213,0.2175731992920596,1.6879341056795671,1.2875668562176892,1.5953890805690598,1.491504934189192,1.0263468225979375,0.768341027360611,1.577387737078731,0.6049746235064084,1.2778717069712127,1.2865795693553612,1.1622487139470725,0.42580624033524234,0.8319396485599213,0.6564066712613029,0.7554695923172323,1.5786151267895003,0.3715655533560582,1.4287855898480517,0.7404172934154577,2.4376325743637217,1.2431023706942463,2.0761349119032517,0.4337702945599122,1.1140471310041888,0.396950781010271,1.4826968308525708,1.9232747094509541,1.4153476453731244,1.7101049492790195,1.8291391975550795,0.967036508179486,0.4210762277397657,0.7902339724002935,0.16954536240129411,0.8301498364218435,0.4823568055602354,0.42372229883199225,0.8932099721917819,1.2195062071333052,0.43300215316256685,1.4384685196156248,2.0087593675151694,0.6202793535063965,1.4827708554966397,0.8406904215659649,0.7994139483153926,1.0505225933008198,1.6153605471345183,1.6374572285129738
ENSG00000186891,0.0,1.358887448627803,0.2076080317799862,2.963150406079334,3.485600712967978,2.0211350029307242,3.4253650377319604,2.2231444876932183,5.093145612201328,3.079116943036763,5.613010172937028,6.126463525232742,5.216031695323334,0.0,2.6419526545629433,3.699363954474252,3.1088522667536513,3.089429505938696,3.1178216884496877,2.9897608311654604,0.0,2.005054993261094,0.0,4.978735623835069,0.0,0.0,1.0166681779270277,0.0,0.0,1.2436398368520722,2.1991289255149034,1.2294710258693846,2.3453563472876158,1.4914139372453636,3.452960410935286,3.1279947335432814,4.812817020578445,3.6786769211768897,3.7690092575042367,4.299682060468417,2.2724651893916845,0.0,4.147751162753145,4.4708309054411695,2.88075075358267,3.173591196584659,1.4482270076104804,2.3723754616969877,1.1706987196721514,0.0,0.7018267018917301,0.2373152939672977,4.487550662066295,0.0,0.0,0.0,0.0,0.0,1.716289014383964,1.626210623742534,1.6615694796730252,2.547096885888203,2.1664255915911146,2.284626654331439,3.6846331721517056,4.0332273984769875,3.507477910091522,4.791800529556373,5.049744018324916,4.110365749197243,0.0,3.0161949841007543,3.4796160218332273,2.414054328351604,3.5039656289142047,1.3179233911467332,2.1472383075523656,2.1631467103928173,0.0,0.0,0.9481083110610984,4.97409102270716,0.0,0.24838667297950714,0.0,0.28664816920450314,0.0,0.620532924180854,1.2070763425255402,2.4234463997134865,2.9991521675883135,3.1773788728512464,3.1985554433029773,2.2261817285363388,3.287073297240906,0.0,2.9924494076505,1.4150176620856507,3.513012884263224,3.7949003329729365,5.005853565870344,3.4031372193524625,4.252459940201154,4.905314311816193,4.412112176331727,0.0,4.5442315816383845,3.120098085993459,4.18405601647117,2.2682756824035106,1.555074988687399,1.4128665944252599,0.0,0.24220492884171446,0.0,5.128335019785541,0.0,0.0,0.0,0.42346845207040407,2.8227889352952125,2.5922991544362843,3.3267717382808866,3.2508201764285993,3.4909525736318487,2.314415789037088,2.725422703406596
ENSG00000186827,0.0,0.0,0.23292962553388502,0.36524907965365705,1.2416986522042508,0.9458870765711935,1.829106715488645,3.181398376295992,4.605522779744418,3.492401857263102,6.2409456565077415,6.3814512387197295,5.46733817843118,1.3039618954724679,2.3213520560420347,0.0,0.0,0.0,0.0,0.7592461858745553,0.6754076742527723,0.17930338915323035,0.0,2.2921578990228704,0.0,0.0,0.0,1.9189460289019842,0.0,1.0164692200808463,0.1002956197622722,0.0,0.0,0.1729623618109443,1.5095342105027503,5.041460281445751,4.84895663068418,3.39243970317613,3.4314638399934934,4.514268732056499,3.8091139372262792,0.6343237543442307,2.5102710319865835,2.580529991021546,0.15572721651741236,0.0,0.0,0.0,0.37545520133447635,0.0,0.16114599486677914,0.38480577988922066,2.184451693549246,0.9763849002043508,0.0,0.0,1.4790157968567388,0.0,1.8570099834071987,2.8754616129431025,0.3144621955527765,1.5565387937066393,0.4922500713836649,0.8395251016086035,4.510413844173452,4.746001510635419,4.467528604295578,5.324594614941768,5.807303138681268,5.5275057814793875,1.453638731539398,2.227508513381707,3.108770321242501,0.0,0.0,0.1762078631495995,0.0,0.49886284895843347,0.0,0.0,0.0,3.298261519866361,0.17463395904078596,0.2798670538795922,0.0,2.406366050951904,0.0,1.9425115026537536,1.5176385263327226,2.233203353642773,2.9743984361197238,3.1066242010136422,3.491110398144566,3.478114731973692,2.1835668648569944,0.19968804755407368,1.2768128625937052,1.5092184956397892,0.3815082049593681,5.614454258355415,4.931110497950373,3.396803405638581,3.2240175775313697,4.1874447194578055,4.755728828907537,0.8636514682534787,2.716951836885029,0.0,0.73688451242649,0.6055322615837504,0.0,0.0,0.0,0.0,1.224423130487261,2.9671204553984127,0.6553930478820214,0.0,0.0,0.4717160481797144,2.5507334894444784,1.9814004162239205,3.579363611734309,2.7602820600763978,2.6026357450333175,2.0145631117988456,2.6070388451136606
ENSG00000078808,0.928874803774467,1.9071074067629696,4.3620424875335715,4.833075021613182,4.785152212486586,4.737824048832094,2.813922145254536,1.2702299072379977,5.46773726131266,4.596178203205028,5.593871440665682,6.573194390410083,6.04323985144119,5.8760758024361985,5.168957983583496,2.0327744139049453,3.1911126858168033,5.1289684998770575,6.011483696837266,6.654586749806021,6.5700277647291525,6.075751585880535,5.681905446897093,4.700557459447051,2.997464400599802,5.720980404204689,4.571546548991535,5.570547966163225,5.721415316243152,6.166317906027543,6.22433798076913,3.6567265427085496,1.7252263616754528,5.648270568245512,6.6234987099800025,6.065229109422969,6.181757142411183,6.111579330967114,5.323762973399576,1.098400691837435,1.5434666332915483,4.30648733772201,6.815375353763484,6.318049429840951,5.511898133333692,5.168661725676795,4.315055197402276,1.81142176843505,5.91678814217022,5.1003335037115125,5.975248232374366,6.057829720393967,7.076746132283956,6.123729753665788,5.137817070918304,5.411110045272963,3.733568017212647,5.361161857963871,5.811198418644744,6.676189905337844,6.924692143384147,6.323782172749029,5.466788292243113,1.397156752587278,4.8917837032183105,6.0748551285012455,6.446423354444303,6.3862793731819885,6.838886675337805,6.810862072390044,5.643528920568547,3.596064863301875,6.09001608147912,5.589610488492557,5.904712960064424,6.022185134075743,6.196862633637969,6.099088008267418,5.725585346840445,4.105586900977411,4.265729876220625,6.685061877367045,6.340594544160321,6.371957238854413,4.956702885230999,5.6723996844021265,4.828926427233509,2.9809780054448933,1.8272705743485622,4.247635907714171,5.12207257532576,6.1201307328411305,5.493337955173325,4.740286297958364,4.468732270512363,3.245933135893097,4.034759705334628,4.670405003585798,5.626933781224225,5.181577472362115,5.123245666367847,3.966538720747516,1.9475288932138268,3.6042642237767715,4.449920475807643,5.399606417772395,6.368033861104645,5.571050879448775,5.1790988559361475,4.250847921209481,1.4846052876258358,2.45415991288033,5.083922727420792,5.676005089053927,6.441968733909667,7.183420269654391,6.178075463771013,4.785351395860989,5.017383089923178,3.58784464930038,4.596881892842112,5.470392653455245,5.8991139747395644,6.041816454309494,5.463038238016242,4.572279971855815,5.792698323220313
