gene_id,samples_above_threshold,max_expression,mean_expression,median_expression,std_expression
ENSG00000197714.8,127,38.483,14.948460200000005,14.90036,7.489847036118718
ENSG00000279541.1,122,13.2354,5.017348958267713,4.72872,2.752674411899724
ENSG00000268205.1,126,24.6987,10.000190574803145,10.0645,4.41561245628944
ENSG00000178229.7,120,19.1953,5.198531165354332,4.66921,3.155793768570142
ENSG00000131845.14,121,12.0518072,4.548590087661418,4.18442,2.4016536855857207
ENSG00000152433.14,83,10.53159,1.8523192954803152,1.341728,1.8419635280090019
ENSG00000256060.2,117,11.514126,3.8935131795275617,3.542266,2.288691973976063
ENSG00000188785.11,123,123.810223,42.2036913162992,42.627163,22.274404482522073
ENSG00000269533.5,17,4.53271,0.4018046903149606,0.0,0.7409812816276925
ENSG00000268533.1,120,9.56531,3.817818755905513,3.66437,2.003516010853288
ENSG00000186272.12,124,19.333926,6.824107094354333,6.323601,3.756112563771794
ENSG00000186230.6,114,12.19317,4.492657226976378,4.40091,2.884206336531523
ENSG00000268163.1,35,10.473043,0.7815405491338583,0.260293,1.4118270756947107
ENSG00000276449.1,33,3.34928,0.696453588188976,0.520843,0.6170465417890506
ENSG00000178201.4,27,3.64448,0.6541135677165357,0.505537,0.6535958242922716
ENSG00000197128.11,113,32.96781,5.292850498685038,3.9023714,5.26601081462574
ENSG00000268266.1,82,5.271915,1.6489242259842527,1.42684,1.246336556973171
ENSG00000105136.20,124,25.17146,9.50214776748032,9.166518,5.147396147683863
ENSG00000152439.12,125,35.8449,12.260734542598424,10.6902464,7.172497007560921
ENSG00000121406.8,126,21.3369,9.60794240398425,9.707577,4.625558799006693
ENSG00000251369.8,124,49.9144,18.230581055393717,17.10922,11.207025160719141
ENSG00000083817.8,114,12.9959,3.9547790519685053,3.32611,2.5928133548592744
ENSG00000171649.11,112,19.35674,6.240453886645669,5.842666,4.398812674153875
ENSG00000183647.10,117,15.3265,4.27262739401575,3.807317,2.848162001802942
ENSG00000213762.11,126,54.33036,14.931814439858261,13.70902,8.498185423646698
ENSG00000121417.13,127,92.65185,37.04334955944881,35.54359046,16.05987597259365
ENSG00000204519.10,124,35.44357,8.862811584842522,7.44103,5.715034603314542
ENSG00000179909.15,112,31.33116,7.104551066929134,4.96452,6.8950253105756385
ENSG00000083814.13,127,39.187657,17.93132732311023,17.256395,7.996560423807689
ENSG00000152443.12,127,76.90425,20.11372843803149,18.32707,11.258297326666103
ENSG00000083828.15,127,91.6595,39.39753321600787,38.64771,16.437186139409146
ENSG00000178935.5,127,58.30948,14.167224487401581,13.72024,7.594366791715508
ENSG00000268750.6,120,16.534866,5.930601517480316,5.47964,3.661818395963997
ENSG00000269343.6,127,25.46565,11.860547781102365,10.74912,5.274946199765894
ENSG00000269304.1,82,14.5089,3.0838809212598446,2.06461,3.441246993246093
ENSG00000204514.9,127,64.764806,27.505815229314962,23.447944,13.526693831427027
ENSG00000198466.11,127,36.16654,17.18499428653544,16.931669,6.166859256156566
ENSG00000269867.1,101,8.12303,2.3185778425196855,1.93191,1.5790120758001371
ENSG00000270804.1,119,21.25005,5.733926643307087,5.22383,3.4710566360900956
ENSG00000173480.10,127,54.979267,16.25996135470866,15.313443,8.23368347676697
ENSG00000196724.12,95,24.09399019,4.328448782322836,3.004767,4.841851397376197
ENSG00000152454.3,116,21.39316319,6.367962174488191,5.64573,4.76092440561471
ENSG00000177025.3,34,4.98462,0.8315169763779529,0.49788,0.9970308931699147
ENSG00000166704.11,127,47.503714,11.363839409685038,10.073819,7.20386695315423
ENSG00000176593.7,121,12.581218,3.898650093858267,3.2010112,2.4020310330529933
ENSG00000176293.19,51,24.77813,1.9835413746771653,0.742936,3.9455892052165957
ENSG00000243642.3,120,20.2633,6.0080645905511805,5.08133,4.283969982091761
ENSG00000121413.12,123,47.790541,10.865721663732284,8.7063,8.780925067847575
ENSG00000181894.14,114,9.27304,3.117667150503938,2.90255,1.784425919847921
ENSG00000268293.1,21,10.7664,0.5371206929133858,0.0,1.5902843030918183
ENSG00000171606.17,127,68.61171264,36.307069719291356,37.43417903,15.008417054002283
ENSG00000198131.13,127,87.6399326,38.71778688316536,40.17159882,18.526314660444477
ENSG00000283515.1,58,6.9566284,1.3529374850393712,0.888939,1.4592432880613662
ENSG00000268516.2,81,6.21293,1.679248427559055,1.40311,1.2847645383318789
ENSG00000268201.1,32,7.73263,0.8653113385826772,0.380701,1.3237131869820988
ENSG00000278129.1,120,6.32257,2.251194078740159,2.10595,0.9466778318701703
ENSG00000267216.1,54,3.77842,1.0429472732283465,0.733472,0.8885084511852167
ENSG00000142396.10,127,168.092554,84.11618585283462,83.09396,34.20163871337572
ENSG00000283103.1,117,9.58953,3.1154104881889757,2.86208,1.7644294433052274
