,ENSG00000134184,ENSG00000162627,ENSG00000158747
DZQV_CD8_naive,5.289452793829407,0.0,0.8302756093884127
DZQV_CD8_CM,4.3204999136055955,1.8430793645252666,1.0905350541645422
DZQV_CD8_EM,5.316782574754194,0.7215266553984554,1.271772263755452
DZQV_CD8_TE,4.750946398472815,0.0,1.6290063716527454
DZQV_MAIT,4.5687189244163315,0.0,1.3157969039724
DZQV_VD2+,5.014985441660595,0.0,0.4006384775523719
DZQV_VD2-,4.709365691414325,0.0,0.0
DZQV_TFH,5.189419915112835,0.0,1.88797563322683
DZQV_Treg,4.4565198154904895,0.46468394838605537,0.21097729417688352
DZQV_Th1,4.650761342914182,0.0,0.0
DZQV_Th1/Th17,5.003996855139421,0.8767349919074026,1.2260281680359681
DZQV_Th17,5.138923387611089,0.0,2.3476659397380826
DZQV_Th2,4.678885671155792,2.650851623594919,1.5673205565978385
DZQV_CD4_naive,5.223754455183798,0.0,1.7361138641828242
DZQV_Progenitor,5.6683759315074855,1.8192635182247405,1.0515113176857087
DZQV_B_naive,4.456581778251967,0.21376906254680753,0.0
DZQV_B_NSM,4.665704290402379,0.2758855124285151,0.0
DZQV_B_Ex,4.59236553909567,0.0,0.0
DZQV_B_SM,5.012571310396786,2.183913622354627,0.0
DZQV_Plasmablasts,3.3499397216105207,0.0,0.0
DZQV_C_mono,3.231243764352968,1.788421366292719,0.0
DZQV_I_mono,4.055546218477815,1.6058019938096002,0.0
DZQV_NC_mono,2.811352797237601,0.7632118355572103,0.0
DZQV_NK,4.750342808390043,0.0,0.0
DZQV_pDC,4.890727373165532,0.5887767488243596,0.0
DZQV_mDC,5.647851304081598,3.2755561507609334,0.0
DZQV_Neutrophils,1.2433827068243932,0.0,0.0
DZQV_Basophils,0.8352547024699468,0.0,0.0
925L_CD8_naive,4.450692637741055,0.0,0.6808320241446584
925L_CD8_CM,4.785997832939912,0.0,1.2496031035261703
925L_CD8_EM,5.362988590593361,0.0,0.0
925L_CD8_TE,4.975974495552601,1.348322514034652,0.0
925L_MAIT,4.904169030927336,0.0,0.0
925L_VD2+,4.6339217130285215,1.0005192767505122,0.0
925L_VD2-,4.355592127503319,0.0,0.631561587290912
925L_TFH,5.220637384892364,0.0,0.0
925L_Treg,5.496074172004167,0.0,0.0
925L_Th1,4.849093088513279,0.0,0.5616761048963201
925L_Th1/Th17,3.9470114192676022,0.0,0.517142631530907
925L_Th17,4.501673524254,1.8144495235639002,0.7353098732167144
925L_Th2,5.006980321478479,1.7281186073676893,0.0
925L_CD4_naive,4.728389118216568,0.0,0.0
925L_CD4_TE,4.630071495059125,0.0,0.07943013425029222
925L_Progenitor,5.030398764492478,1.7154716994208914,1.0131334844059319
925L_B_naive,3.7982604214779614,0.0,0.0
925L_B_NSM,4.978801919355259,0.0,0.0
925L_B_Ex,4.670956836504985,0.0,0.12065093347681527
925L_B_SM,4.27261388608618,0.0,0.0
925L_Plasmablasts,3.326899127009976,0.0,0.0
925L_C_mono,4.313470584109124,0.46455326498917443,0.0
925L_I_mono,3.0757571470173066,0.196710269889884,0.0
925L_NC_mono,3.1097901276878033,0.5269902391856973,0.0
925L_NK,4.0028681103071735,0.0,0.0
925L_pDC,5.298484382621598,0.0,0.0
925L_mDC,5.024678889653592,0.0,0.0
925L_Neutrophils,0.13522134338250125,0.0,0.0
925L_Basophils,3.3872329351159998,0.0,0.0
9JD4_CD8_naive,5.2933709624542535,0.0,0.0
9JD4_CD8_CM,3.9434384725652496,1.6200936987506416,0.8014417856721258
9JD4_CD8_EM,4.267240187586349,0.9821323994320218,0.267097080166836
9JD4_CD8_TE,4.517015795694368,1.4342412332519363,1.2293493366238104
9JD4_MAIT,4.597949024500977,0.1170766122648191,1.078275079683021
9JD4_VD2+,4.235969096807035,0.504743429341927,0.0
9JD4_VD2-,5.155316132528168,1.1222751361353598,0.0
9JD4_TFH,5.4494922754591535,0.6820437625584077,0.233913822355703
9JD4_Treg,5.0803529343131695,0.0,1.4097406709127738
