,ENSG00000134184,ENSG00000162627,ENSG00000158747
DZQV_CD8_naive,0.9713097895969622,-0.6581256451396765,0.8090538402510966
DZQV_CD8_CM,0.4730947922233507,1.400936709622152,1.2664030267926663
DZQV_CD8_EM,0.9853621826591707,0.1479537905501929,1.5848878773569404
DZQV_CD8_TE,0.6944212351336255,-0.6581256451396765,2.2126488748195596
DZQV_MAIT,0.6007237371835911,-0.6581256451396765,1.6622515765238464
DZQV_VD2+,0.8301845048376645,-0.6581256451396765,0.05406032628933743
DZQV_VD2-,0.6730413184413367,-0.6581256451396765,-0.6499743801684545
DZQV_TFH,0.9198750073446611,-0.6581256451396765,2.667730845896759
DZQV_Treg,0.5430333376815037,-0.13898727085145507,-0.27922782012127406
DZQV_Th1,0.6429082067802858,-0.6581256451396765,-0.6499743801684545
DZQV_Th1/Th17,0.8245344069675581,0.3213503620717324,1.5045026103231867
DZQV_Th17,0.893910765088786,-0.6581256451396765,3.4755362568581556
DZQV_Th2,0.6573691392022956,2.3033685212330726,2.1042495144782554
DZQV_CD4_naive,0.9375290988287872,-0.6581256451396765,2.4008669224807124
DZQV_Progenitor,1.1661440213704186,1.374329980954861,1.1978273247667162
DZQV_B_naive,0.5430651976178089,-0.41930585377587176,-0.6499743801684545
DZQV_B_NSM,0.6505915530972571,-0.349910229244088,-0.6499743801684545
DZQV_B_Ex,0.6128823243665307,-0.6581256451396765,-0.6499743801684545
DZQV_B_SM,0.8289432098007168,1.7817119507851336,-0.6499743801684545
DZQV_Plasmablasts,-0.025946650735224005,-0.6581256451396765,-0.6499743801684545
DZQV_C_mono,-0.08697759170282854,1.3398735624167326,-0.6499743801684545
DZQV_I_mono,0.33686122791243694,1.1358537668681707,-0.6499743801684545
DZQV_NC_mono,-0.30287661150889483,0.1945238877844296,-0.6499743801684545
DZQV_NK,0.6941108819290058,-0.6581256451396765,-0.6499743801684545
DZQV_pDC,0.7662936443712423,-0.00035253878428828195,-0.6499743801684545
DZQV_mDC,1.1555906937444964,3.001279636454174,-0.6499743801684545
DZQV_Neutrophils,-1.1090935395154218,-0.6581256451396765,-0.6499743801684545
DZQV_Basophils,-1.3189442936311233,-0.6581256451396765,-0.6499743801684545
925L_CD8_naive,0.5400371266103734,-0.6581256451396765,0.5464393472251915
925L_CD8_CM,0.7124439384945284,-0.6581256451396765,1.5459304154831048
925L_CD8_EM,1.0091203349179663,-0.6581256451396765,-0.6499743801684545
925L_CD8_TE,0.810125904662755,0.8482013118883964,-0.6499743801684545
925L_MAIT,0.773205059387571,-0.6581256451396765,-0.6499743801684545
925L_VD2+,0.6342496266465244,0.45964042485327367,-0.6499743801684545
925L_VD2-,0.4911384635016176,-0.6581256451396765,0.45985730508262174
925L_TFH,0.9359263674692383,-0.6581256451396765,-0.6499743801684545
925L_Treg,1.0775501150923483,-0.6581256451396765,-0.6499743801684545
925L_Th1,0.7448861792178457,-0.6581256451396765,0.33704881852904056
925L_Th1/Th17,0.2810549386623637,-0.6581256451396765,0.2587909561292264
925L_Th17,0.5662504159854814,1.3689518537982401,0.6421722801032701
925L_Th2,0.8260684420115888,1.2725041679236262,-0.6499743801684545
925L_CD4_naive,0.6828227605813585,-0.6581256451396765,-0.6499743801684545
925L_CD4_TE,0.6322699263177866,-0.6581256451396765,-0.510393250586368
925L_Progenitor,0.8381097081689469,1.2583752201644518,1.1303866566794085
925L_B_naive,0.20457033400752242,-0.6581256451396765,-0.6499743801684545
