feature,importance,importance_normalized
ENSG00000283041.1,4.720605025745514,0.7262048718622035
ENSG00000123689.5,0.3587003384332383,0.05518147184273276
ENSG00000122877.15,0.30441844722218037,0.04683089524579773
ENSG00000229644.6,0.2415148824712568,0.037153984144258155
ENSG00000180596.7,0.1681307043916495,0.025864764362393843
ENSG00000202290.1,0.06937684906343115,0.010672743326234071
ENSG00000232177.1,0.04444369350590601,0.006837095366275083
ENSG00000065534.18,0.0331001804592405,0.005092040570630535
ENSG00000225972.1,0.025603733612994367,0.003938807840565338
ENSG00000211973.2,0.023724601696568322,0.0036497273635633792
ENSG00000198478.7,0.021308413431759328,0.003278027617520028
ENSG00000254052.1,0.020640520285122435,0.003175280775891504
ENSG00000081041.8,0.01728790768103016,0.0026595240893481443
ENSG00000259600.2,0.01670946053532018,0.0025705373740778845
ENSG00000254281.1,0.016362905366007367,0.0025172242815926157
ENSG00000156265.15,0.015601647186977336,0.002400114420602021
ENSG00000210112.1,0.015293391589576735,0.00235269322874415
ENSG00000121797.9,0.014743243294354358,0.00226805993066938
ENSG00000104267.9,0.014242579684945203,0.0021910392203294752
ENSG00000140379.7,0.014163638688593235,0.002178895154933663
ENSG00000170956.16,0.012444006582955438,0.001914351689400321
ERCC-00046,0.012285547941912832,0.0018899748486169445
ENSG00000210077.1,0.00977643517245893,0.001503979852786654
ENSG00000163734.4,0.009400970843895195,0.0014462194548871506
ENSG00000111644.7,0.009373050653393783,0.0014419242897007252
ENSG00000112096.16,0.009274193423876883,0.0014267163658641755
ENSG00000281990.1,0.008782512192126895,0.0013510774797568462
ENSG00000262902.1,0.008243352036091348,0.0012681345667421814
ENSG00000239823.2,0.008235348847125033,0.0012669033782004427
ENSG00000259884.1,0.00708138325815359,0.001089380491176008
ENSG00000278828.1,0.006445500834919893,0.0009915580910460743
ENSG00000168497.4,0.006164776985356934,0.000948372307425396
ENSG00000180573.9,0.005827681311727529,0.0008965144376950885
ENSG00000211898.7,0.0050918477983088965,0.0007833158372170275
ENSG00000199933.1,0.005004426875397544,0.0007698672432815736
ENSG00000206863.1,0.00494930330598525,0.0007613871852289895
ENSG00000132965.9,0.004810410105862763,0.0007400202379738434
ENSG00000123610.4,0.004760265102596566,0.0007323060688211919
ENSG00000115009.11,0.0046656154870333465,0.0007177454327232714
ENSG00000183019.7,0.004556925761880307,0.0007010249048466491
ENSG00000199536.1,0.0042591411703908535,0.000655214543690457
ENSG00000272053.1,0.004206486282299108,0.0006471142607709925
ENSG00000186407.6,0.0041215685906314465,0.0006340507570336492
ENSG00000159674.11,0.004118290454004322,0.0006335464575262208
ENSG00000200571.1,0.004009294117798787,0.0006167787614499981
ENSG00000131401.11,0.003924717290820745,0.0006037676953974213
ENSG00000213557.4,0.003907443686756143,0.000601110371737018
ENSG00000075223.13,0.0035544996817289997,0.0005468144383667416
ENSG00000179348.11,0.0035391678470245913,0.0005444558311551228
ENSG00000210100.1,0.003496699500232239,0.0005379226176851675
ENSG00000017483.14,0.003450834178905604,0.0005308668230115456
ENSG00000179604.9,0.0034220253727975615,0.0005264349556483382
ENSG00000149516.13,0.003403440730444701,0.0005235759454695884
ENSG00000273742.1,0.003272679822662055,0.0005034600476634836
ENSG00000252503.1,0.0032228936716037155,0.0004958010833458485
ENSG00000199627.1,0.003213190606061401,0.0004943083904748294
ENSG00000269971.1,0.003202610792995314,0.0004926808211801985
ENSG00000008517.16,0.0031445398661458573,0.00048374734977947077
ENSG00000257156.1,0.003128968599028391,0.00048135190894506503
ENSG00000223609.7,0.003010962616188262,0.0004631981936522133
ENSG00000211592.8,0.0029004273511737426,0.0004461937530077756
ENSG00000199377.1,0.00286548074742701,0.0004408176637655058
ENSG00000164330.16,0.002740798218090936,0.0004216368469536482
ENSG00000213626.11,0.0027159572473727214,0.0004178153804553989
ENSG00000165682.14,0.0026497472792704076,0.00040762982137144483
ENSG00000207053.1,0.0026184779049630473,0.00040281942697533633
ENSG00000004799.7,0.0025686292311092227,0.00039515084432309455
ENSG00000167633.18,0.002566751025333175,0.0003948619063209769
ENSG00000138678.10,0.0025579263982123393,0.00039350434999661435
ENSG00000201086.1,0.0025418122978123183,0.00039102540118552976
ENSG00000111266.8,0.002525367262665823,0.00038849554228477496
ENSG00000187796.13,0.0024279926892124782,0.00037351570617231495
ENSG00000153064.11,0.002425486827640571,0.00037313021133175814
ENSG00000014914.20,0.0024039053118632427,0.0003698101704017946
ENSG00000274472.1,0.002272916581248698,0.0003496592249588838
ENSG00000266712.3,0.0022486390053835887,0.0003459244295726797
ENSG00000162772.16,0.0022396865810025315,0.000344547213269887
ENSG00000188536.12,0.00223541866560238,0.0003438906489228632
ENSG00000146072.6,0.002155787397738761,0.0003316403940594008
ENSG00000104490.17,0.0021550483283063688,0.0003315266976540628
ENSG00000207612.1,0.0021450385049493078,0.000329986814005943
ENSG00000137965.10,0.0021086910593678737,0.00032439522311515135
ENSG00000267729.1,0.002100639172620555,0.0003231565430409458
ENSG00000137959.15,0.002069716885152239,0.0003183995435279293
ENSG00000264354.1,0.0020684352020431786,0.000318202372929477
ENSG00000123685.8,0.002041070817684347,0.0003139927114287767
ENSG00000232418.1,0.0020304708519149955,0.0003123620418977964
ENSG00000187164.19,0.002026656894022983,0.00031177531312316875
ENSG00000196562.14,0.0019591924335843787,0.00030139676639433455
ENSG00000133742.13,0.0019401574144572316,0.00029846847149341953
ENSG00000264037.1,0.0019058774437424493,0.0002931949352402065
ENSG00000197321.14,0.0018717046994511945,0.0002879378944045794
ENSG00000085265.10,0.001826980609180806,0.0002810576635725513
ENSG00000264937.1,0.0018232649345287124,0.00028048605442078183
ENSG00000168028.13,0.0018195206213014307,0.0002799100395895048
ENSG00000264443.1,0.0018136151365937606,0.00027900155609172683
ENSG00000207741.1,0.0018018462134863238,0.0002771910573843408
ENSG00000284540.1,0.0017051778939840816,0.000262319869433984
ENSG00000135821.17,0.0016694942998335845,0.0002568304036184126
ENSG00000159713.10,0.0016504114691148792,0.0002538947535139735
ENSG00000152270.8,0.0015601101067950938,0.00024000304071555617
ENSG00000082074.15,0.0015517752799620189,0.0002387208339180597
ENSG00000151948.11,0.001503707285622179,0.00023132618609646535
ENSG00000198520.10,0.0014396979363204161,0.0002214791641460685
ENSG00000134256.12,0.0014127760368302577,0.00021733757329851606
ENSG00000162739.13,0.0013422225277201975,0.0002064838158324149
ENSG00000120915.13,0.0013416694968772,0.00020639873909113183
ENSG00000117602.11,0.001341418786696019,0.00020636017052756716
ENSG00000258930.1,0.0013260666964321557,0.00020399844725648605
ENSG00000174130.12,0.0013260616232472762,0.00020399766681170083
ENSG00000138772.12,0.0013164821621816651,0.00020252398891284666
ENSG00000205809.9,0.0013049102317486303,0.00020074379501577448
ENSG00000145088.8,0.00126831321431041,0.00019511381067810701
ENSG00000145335.15,0.0012106727116673163,0.0001862465545514646
ENSG00000183386.9,0.0012078268188486624,0.0001858087502406967
ENSG00000143515.16,0.001169224710903475,0.00017987030830347517
ENSG00000145349.16,0.001138597603769646,0.00017515871851989234
ENSG00000141293.15,0.0011369082913426224,0.0001748988393501861
ENSG00000196912.12,0.0011332836838489231,0.00017434123971917336
ENSG00000171115.3,0.001115688890657287,0.00017163450520834523
ENSG00000235568.6,0.00109853389319092,0.0001689954276602523
ENSG00000131355.14,0.0010891718706228886,0.0001675551999008213
ENSG00000100077.14,0.0010867390455269468,0.00016718094079051107
ENSG00000221042.1,0.0010785039246749106,0.00016591407248644696
ENSG00000138185.18,0.0009967620904718674,0.0001533391339119519
ENSG00000152969.17,0.0009944519224939408,0.00015298374403475593
ENSG00000265669.1,0.0009311854480872704,0.0001432510039115948
ENSG00000137642.12,0.0009088484079587584,0.0001398147351969198
ENSG00000264757.1,0.0007975626032283303,0.00012269483359032867
ENSG00000182022.17,0.0007750247426614644,0.00011922767121267895
ENSG00000199804.1,0.0007626193186993545,0.00011731925496737412
ENSG00000252577.1,0.0007602108137044093,0.00011694873719439916
ENSG00000269981.1,4.380176776841438e-18,6.738343279329079e-19
ENSG00000161638.10,2.8189256484623115e-18,4.336557556003863e-19
ENSG00000211857.1,0.0,0.0
ENSG00000211905.1,0.0,0.0
