,DZQV_CD8_naive,DZQV_CD8_CM,DZQV_CD8_EM,DZQV_CD8_TE,DZQV_MAIT,DZQV_VD2+,DZQV_VD2-,DZQV_TFH,DZQV_Treg,DZQV_Th1,DZQV_Th1/Th17,DZQV_Th17,DZQV_Th2,DZQV_CD4_naive,DZQV_Progenitor,DZQV_B_naive,DZQV_B_NSM,DZQV_B_Ex,DZQV_B_SM,DZQV_Plasmablasts,DZQV_C_mono,DZQV_I_mono,DZQV_NC_mono,DZQV_NK,DZQV_pDC,DZQV_mDC,DZQV_Neutrophils,DZQV_Basophils,925L_CD8_naive,925L_CD8_CM,925L_CD8_EM,925L_CD8_TE,925L_MAIT,925L_VD2+,925L_VD2-,925L_TFH,925L_Treg,925L_Th1,925L_Th1/Th17,925L_Th17,925L_Th2,925L_CD4_naive,925L_CD4_TE,925L_Progenitor,925L_B_naive,925L_B_NSM,925L_B_Ex,925L_B_SM,925L_Plasmablasts,925L_C_mono,925L_I_mono,925L_NC_mono,925L_NK,925L_pDC,925L_mDC,925L_Neutrophils,925L_Basophils,9JD4_CD8_naive,9JD4_CD8_CM,9JD4_CD8_EM,9JD4_CD8_TE,9JD4_MAIT,9JD4_VD2+,9JD4_VD2-,9JD4_TFH,9JD4_Treg,9JD4_Th1,9JD4_Th1/Th17,9JD4_Th17,9JD4_Th2,9JD4_CD4_naive,9JD4_CD4_TE,9JD4_Progenitor,9JD4_B_naive,9JD4_B_NSM,9JD4_B_Ex,9JD4_B_SM,9JD4_Plasmablasts,9JD4_C_mono,9JD4_I_mono,9JD4_NC_mono,9JD4_NK,9JD4_pDC,9JD4_mDC,9JD4_Neutrophils,9JD4_Basophils,G4YW_CD8_naive,G4YW_CD8_CM,G4YW_CD8_EM,CYFZ_PBMC,FY2H_PBMC,FLWA_PBMC,453W_PBMC,684C_PBMC,CZJE_PBMC,G4YW_CD8_TE,G4YW_MAIT,G4YW_VD2+,G4YW_VD2-,G4YW_TFH,G4YW_Treg,G4YW_Th1,G4YW_Th1/Th17,G4YW_Th17,G4YW_Th2,G4YW_CD4_naive,G4YW_Progenitor,G4YW_B_naive,G4YW_B_NSM,G4YW_B_Ex,G4YW_B_SM,G4YW_Plasmablasts,G4YW_C_mono,G4YW_I_mono,G4YW_NC_mono,G4YW_NK,G4YW_pDC,G4YW_mDC,G4YW_Neutrophils,G4YW_Basophils,DZQV_PBMC,925L_PBMC,9JD4_PBMC,G4YW_PBMC,4DUY_PBMC,36TS_PBMC,CR3L_PBMC
ENSG00000223972.5,0.214321,0.0,0.00421414,0.00953342,0.0112167,0.0245038,0.0,0.0,0.66669,0.0,0.00560392,0.0,0.0,0.654156,0.0,0.0,0.0,0.0,0.577617,0.00174245,0.95144,0.0,0.0,0.0,0.144558,0.0,0.630354,1.03536,0.0,0.0,0.454519,0.0,0.0,0.0,0.0,0.0643162,0.0,0.0,0.0,0.0,0.0264017,0.0,0.0,4.03141,0.0,0.0,0.485508,0.0,0.208931,0.0,0.00765817,0.0,0.00468546,0.0,0.0,0.0,0.0,0.599302,0.260638,0.0,0.0,0.0,0.0,0.0,0.003397,0.241466,0.00153889,0.0,0.40951,0.0,0.0,0.0,4.58081,0.212431,0.0,0.0,0.0,0.284437,0.0,0.975698,0.0,0.0,0.763076,0.0,0.0,0.00390977,0.0,0.165761,0.691472,3.01149,2.54756,1.86471,2.01926,1.05433,2.65111,0.00214544,0.0,0.0,0.00173999,0.737662,0.00112557,0.0111656,0.00130872,0.0,0.0,0.0,2.26835,0.0,0.0,0.0,0.789591,0.436147,0.0,0.0,0.0,0.0,0.0,0.0,0.248643,0.0,2.10965,3.83105,7.43237,3.87109,5.86248,6.94337,1.62892
ENSG00000227232.5,4.75963,3.4928,2.64877,3.72232,2.47927,4.18825,3.59954,5.08058,3.20052,8.44928,6.21431,6.54599,8.19219,2.46917,4.34177,4.48718,2.6464,0.0,5.32368,1.58897,1.42801,0.0,1.84784,2.18338,6.32063,2.10676,0.29482,3.1546,5.81178,4.41895,3.34451,1.73744,2.68769,4.96694,2.95635,2.43971,5.1128,3.396,2.04895,3.81266,3.26718,6.10359,3.36635,2.89292,0.0,1.13856,3.41001,6.26274,0.194293,0.975286,1.61467,3.39562,2.20485,2.26413,3.7098,4.44935,2.02661,0.922743,1.44249,4.27394,1.88102,0.509912,1.56458,3.12647,2.27676,2.46617,4.219,2.65271,4.60804,5.8337,3.71386,1.52834,1.33593,1.43725,0.631166,1.4777,0.921383,0.0,1.28031,0.587216,6.59041,0.844558,1.09869,1.65178,2.50119,0.782398,2.7718,5.8669,5.25559,2.62153,4.85206,2.78854,3.83599,2.34941,2.78231,6.34121,0.88273,1.44646,3.64806,3.46399,6.85944,3.13858,1.82371,2.67095,4.36298,5.50287,0.0,1.05716,2.57767,1.12741,3.02745,0.0,2.07276,1.65195,2.87183,5.98767,1.84561,4.65285,1.53854,4.96184,2.0672,3.21687,0.343774,0.783651,0.0,0.589092,3.02095
ENSG00000278267.1,0.0,2.61518,2.45976,0.0,4.5861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09309,2.04695,0.0,0.0,1.46273,1.40563,0.0,0.0,0.0,0.0,0.0,2.14514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12093,4.9552,2.19522,1.37243,0.0,0.0,1.93729,0.0,5.36259,0.0,0.0,3.11599,0.0,1.21801,1.76939,0.81659,0.0,0.0,0.0,1.84677,1.90184,0.0,0.0,0.0,2.12513,0.0,1.85016,1.7108,1.88951,0.0,0.0,1.62099,1.91763,1.56644,4.55406,0.0,0.0,2.03612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05526,0.0,1.81782,2.03497,2.28129,0.0,2.10751,0.0,0.0,0.0,0.0,0.0,2.81535,0.0,0.0,0.0,0.0,0.0,0.0,6.46942,0.197958,0.0,0.0,2.15973,0.0,0.0,1.67039,0.0,0.0,0.0,0.0,0.0,0.0,1.91028,0.0,0.0,1.67461,0.0,0.0,0.0,0.0,0.0,0.0,1.85684,0.0,0.0
ENSG00000243485.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000284332.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.463572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000237613.2,0.0,6.10085244,0.0,2.03647,3.73077,0.774501,2.14646,6.86108,7.34615,2.17268,3.42488,1.42049,3.37037,1.51983,2.10473,5.29399,7.58002,7.53881,3.13209,0.759561,2.5736,1.68547,3.20601,1.14105,2.1102,2.23133,2.91662,9.25183,0.993344,3.34087,4.60734,1.47874,1.12295,2.5438,0.491699,1.81115,1.02929,2.16043,5.74332,2.34585,3.78865,7.71355,3.54715,8.40881,5.76053,2.46252,6.55711,4.85309,0.764568,4.85521,4.95302,2.99228,9.68349,1.90701,4.0356,5.92877,8.34874,8.11297,10.6018,1.45441,1.87986,6.00868,3.66532,2.59265,5.95444,4.19729,5.33254,5.13718,5.67,3.9178,4.24635,3.6082,5.96857,7.05871,6.15105,2.33547,1.88037,0.639669,3.94396,1.17874,7.11953,7.06183,4.68897,4.02979,3.922,10.187,3.33459,4.5158,2.95809,3.0928,3.3492,3.44638,3.59909,7.34964,2.79972,2.90149,5.31026,1.45802,1.70616,4.95168,4.84144,5.88233,2.082,5.99909,3.21369,1.14085,5.79326,4.03599,1.11961,3.69673,4.37301,2.02722,2.63257,3.6872,1.03537,2.28402,5.16083,1.7015,5.61429,11.328,2.32248,1.23159,1.98098,1.54049,0.398058,0.906652,3.35175
